,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,2.0,0,5.60000044060871e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,0.1,0.99,0.001,0.09999994371813065,0.1,1024,
1,1,2.0,1,0.0033825999998953193,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,0.1,0.99,0.001,0.09999660043118096,0.1,1024,
2,2,2.0,3,0.008621000000857748,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,0.1,0.99,0.001,0.09999133598080767,0.1,1024,
3,4,2.0,7,0.012463999999454245,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",geometric,0.1,0.99,0.001,0.09998747404595588,0.1,1024,
4,8,2.0,13,0.016061200003605336,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.1,0.99,0.001,0.09998385925733341,0.1,1024,
5,16,17.0,28,0.019523400005709846,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09998038025221834,0.1,1024,
6,32,17.0,37,0.024138400003721472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997574303977609,0.1,1024,
7,64,17.0,37,0.024138400003721472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997574303977609,0.1,1024,
8,128,17.0,37,0.024138400003721472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997574303977609,0.1,1024,
9,256,17.0,37,0.024138400003721472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997574303977609,0.1,1024,
10,512,17.0,37,0.024138400003721472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997574303977609,0.1,1024,
11,1024,17.0,37,0.024138400003721472,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997574303977609,0.1,1024,
12,0,2.0,0,0.00011549999908311293,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,0.1,,0.001,0.09999994225001714,0.1,1024,0.005
13,1,2.0,1,0.007880999997723848,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,0.1,,0.001,0.09999605957763782,0.1,1024,0.005
14,2,2.0,3,0.031604799994966015,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,0.1,,0.001,0.09998419884851599,0.1,1024,0.005
15,4,2.0,7,0.035959599998022895,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",exponential,0.1,,0.001,0.09998202181627017,0.1,1024,0.005
16,8,2.0,13,0.04016549999505514,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",exponential,0.1,,0.001,0.09997991926645172,0.1,1024,0.005
17,16,17.0,28,0.0453985999993165,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997730327609652,0.1,1024,0.005
18,32,17.0,37,0.04955879999761237,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997522366984096,0.1,1024,0.005
19,64,17.0,37,0.04955879999761237,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997522366984096,0.1,1024,0.005
20,128,17.0,37,0.04955879999761237,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997522366984096,0.1,1024,0.005
21,256,17.0,37,0.04955879999761237,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997522366984096,0.1,1024,0.005
22,512,17.0,37,0.04955879999761237,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997522366984096,0.1,1024,0.005
23,1024,17.0,37,0.04955879999761237,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09997522366984096,0.1,1024,0.005
24,0,2.0,0,6.839999696239829e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,0.5,0.99,0.001,0.49999965627864723,0.5,1024,
25,1,2.0,1,0.0037067000012029894,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,0.5,0.99,0.001,0.49998137355699285,0.5,1024,
26,2,2.0,3,0.008320199995068833,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,0.5,0.99,0.001,0.49995819134590164,0.5,1024,
27,4,2.0,7,0.012473299997509457,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",geometric,0.5,0.99,0.001,0.49993732350158354,0.5,1024,
28,8,2.0,13,0.016449399998236913,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",geometric,0.5,0.99,0.001,0.4999173458351785,0.5,1024,
29,16,17.0,28,0.020288300001993775,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.4998980582790689,0.5,1024,
30,32,17.0,37,0.024636499998450745,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.49987621277618677,0.5,1024,
31,64,17.0,37,0.024636499998450745,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.49987621277618677,0.5,1024,
32,128,17.0,37,0.024636499998450745,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.49987621277618677,0.5,1024,
33,256,17.0,37,0.024636499998450745,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.49987621277618677,0.5,1024,
34,512,17.0,37,0.024636499998450745,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.49987621277618677,0.5,1024,
35,1024,17.0,37,0.024636499998450745,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.49987621277618677,0.5,1024,
36,0,2.0,0,7.009999535512179e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,0.5,,0.001,0.49999982475004234,0.5,1024,0.005
37,1,2.0,1,0.004131899993808474,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",exponential,0.5,,0.001,0.4999896703567185,0.5,1024,0.005
38,2,2.0,3,0.008375099998374935,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",exponential,0.5,,0.001,0.4999790626883873,0.5,1024,0.005
39,4,2.0,7,0.015172299994446803,"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",exponential,0.5,,0.001,0.4999620706887193,0.5,1024,0.005
40,8,2.0,13,0.020044599994434975,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",exponential,0.5,,0.001,0.49994989101109244,0.5,1024,0.005
41,16,17.0,28,0.024730499993893318,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.4999381775723429,0.5,1024,0.005
42,32,17.0,37,0.030832899996312335,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.49992292369137714,0.5,1024,0.005
43,64,17.0,37,0.030832899996312335,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.49992292369137714,0.5,1024,0.005
44,128,17.0,37,0.030832899996312335,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.49992292369137714,0.5,1024,0.005
45,256,17.0,37,0.030832899996312335,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.49992292369137714,0.5,1024,0.005
46,512,17.0,37,0.030832899996312335,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.49992292369137714,0.5,1024,0.005
47,1024,17.0,37,0.030832899996312335,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.49992292369137714,0.5,1024,0.005
48,0,2.0,0,7.759999425616115e-05,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,0.75,0.99,0.001,0.7499994150707248,0.75,1024,
49,1,0.0,2,0.005504699998709839,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 1]",geometric,0.75,0.99,0.001,0.7499585080849418,0.75,1024,
50,2,0.0,4,0.012176699994597584,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1]",geometric,0.75,0.99,0.001,0.7499082206726884,0.75,1024,
