,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
0,0,2.0,5,0.000268499949015677,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",5,0.05,1024,1,10
1,1,6.0,12,0.00402399996528402,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,0.05,1024,1,10
2,2,6.0,18,0.005597099952865392,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,0.05,1024,1,10
3,4,16.0,31,0.007081199961248785,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",5,0.05,1024,1,10
4,8,16.0,55,0.008706299995537847,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",5,0.05,1024,1,10
5,16,16.0,103,0.010936799983028322,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",5,0.05,1024,1,10
6,32,17.0,200,0.014543999976012856,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.05,1024,1,10
7,64,17.0,392,0.020022899960167706,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.05,1024,1,10
8,128,17.0,776,0.03082759998505935,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.05,1024,1,10
9,256,17.0,1544,0.056660299946088344,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.05,1024,1,10
10,512,17.0,3080,0.12010549998376518,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.05,1024,1,10
11,1024,17.0,3188,0.1270840999786742,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.05,1024,1,10
12,0,2.0,5,9.540002793073654e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",5,0.1,1024,1,10
13,1,6.0,12,0.0015060000005178154,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,0.1,1024,1,10
14,2,6.0,18,0.0028439000016078353,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,0.1,1024,1,10
15,4,16.0,31,0.004483300028368831,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",5,0.1,1024,1,10
