,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
0,0,2.0,0,0.00016729999333620071,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,1024,0,1
1,1,2.0,1,0.0016098000342026353,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,1024,0,1
2,2,2.0,2,0.002463500015437603,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,1024,0,1
3,4,2.0,4,0.0032752000261098146,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1,1024,0,1
4,8,3.0,9,0.004197100002784282,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,0,1
5,16,3.0,17,0.0052717000362463295,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1,1024,0,1
6,32,10.0,35,0.0064653000445105135,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,1
7,64,10.0,67,0.008277200045995414,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,1
8,128,10.0,131,0.011691800027620047,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,1
9,256,10.0,259,0.02018720004707575,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,1
10,512,10.0,515,0.05368559999624267,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,1
11,1024,10.0,534,0.05817080003907904,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,0,1
12,0,3.0,534,0.05955740000354126,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,1024,1,1
13,1,3.0,535,0.06265209999401122,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,1024,1,1
14,2,3.0,536,0.06483789999037981,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,1024,1,1
15,4,3.0,538,0.06635020003886893,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,1024,1,1
16,8,4.0,543,0.06807070004288107,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1,1024,1,1
17,16,5.0,552,0.07041420001769438,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1,1024,1,1
18,32,6.0,569,0.07416950003243983,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,1024,1,1
19,64,10.0,602,0.08006350003415719,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,1
20,128,10.0,666,0.09133870003279299,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,1
21,256,10.0,794,0.11942490004003048,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,1
22,512,10.0,1050,0.17648300004657358,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,1
23,1024,10.0,1074,0.1852715000277385,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,1
0,0,0.0,0,5.370000144466758e-05,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",1,1024,0,2
1,1,0.0,1,0.0006215000175870955,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",1,1024,0,2
2,2,0.0,2,0.0011754999868571758,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",1,1024,0,2
3,4,0.0,4,0.0017149000195786357,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",1,1024,0,2
4,8,0.0,8,0.002282800036482513,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",1,1024,0,2
5,16,0.0,16,0.002904199995100498,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",1,1024,0,2
6,32,14.0,35,0.0036883000284433365,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",1,1024,0,2
7,64,17.0,68,0.005204099987167865,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
8,128,17.0,132,0.008231199986767024,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
9,256,17.0,260,0.015367000014521182,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
10,512,17.0,516,0.0401111000101082,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
11,1024,17.0,541,0.04487680003512651,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,2
12,0,1.0,541,0.04627099999925122,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",1,1024,1,2
13,1,1.0,542,0.04756100004306063,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",1,1024,1,2
14,2,1.0,543,0.04885750001994893,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",1,1024,1,2
15,4,1.0,545,0.0502748999861069,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",1,1024,1,2
16,8,2.0,550,0.05195570003706962,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",1,1024,1,2
17,16,4.0,559,0.054311999992933124,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1,1024,1,2
18,32,10.0,577,0.05840310000348836,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,2
19,64,10.0,609,0.06441829999675974,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,2
20,128,10.0,673,0.07511020003585145,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,2
21,256,10.0,801,0.10274460003711283,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,2
22,512,10.0,1057,0.17342080001253635,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,2
23,1024,10.0,1072,0.1793154000188224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,2
0,0,0.0,0,5.6100019719451666e-05,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",1,1024,0,3
1,1,1.0,2,0.0006483999895863235,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",1,1024,0,3
2,2,1.0,3,0.001215500000398606,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",1,1024,0,3
3,4,1.0,5,0.0017746000085026026,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",1,1024,0,3
4,8,1.0,9,0.0023855000035837293,"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",1,1024,0,3
5,16,2.0,18,0.003174500016029924,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",1,1024,0,3
6,32,6.0,35,0.0040969999972730875,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,3
7,64,10.0,69,0.005677799985278398,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,3
8,128,10.0,133,0.008425600011833012,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,3
9,256,10.0,261,0.015509199991356581,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,3
10,512,10.0,517,0.04820830002427101,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,3
11,1024,10.0,558,0.06035320000955835,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,3
12,0,4.0,558,0.06331520003732294,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,3
13,1,4.0,559,0.06597629998577759,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,3
14,2,4.0,560,0.06865580001613125,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,3
15,4,4.0,562,0.07174119999399409,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,3
16,8,4.0,566,0.07568920002086088,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,3
17,16,4.0,574,0.0800726999877952,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",1,1024,1,3
18,32,9.0,592,0.08587210002588108,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1,1024,1,3
19,64,10.0,625,0.09543009998742491,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,3
20,128,10.0,689,0.11339780001435429,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,3
21,256,10.0,817,0.14572600001702085,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,3
22,512,10.0,1073,0.20218339998973534,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,3
23,1024,10.0,1101,0.21277819998795167,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1024,1,3
0,0,0.0,0,5.189998773857951e-05,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",1,1024,0,4
1,1,0.0,1,0.0006372000207193196,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",1,1024,0,4
2,2,0.0,2,0.0011986999888904393,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1]",1,1024,0,4
3,4,3.0,5,0.0017888000002130866,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",1,1024,0,4
4,8,5.0,10,0.00238389999140054,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1,1024,0,4
5,16,7.0,20,0.0031795999966561794,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
6,32,10.0,37,0.005703000002540648,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
7,64,10.0,69,0.007240800012368709,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
8,128,10.0,133,0.010044700000435114,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
9,256,10.0,261,0.017439100018236786,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
10,512,10.0,517,0.043180799984838814,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
11,1024,10.0,524,0.045772099983878434,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,4
12,0,2.0,524,0.04697700001997873,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",1,1024,1,4
13,1,2.0,525,0.04816720000235364,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",1,1024,1,4
14,2,2.0,526,0.04940289998194203,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",1,1024,1,4
15,4,5.0,529,0.05074630002491176,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,1024,1,4
16,8,8.0,535,0.052572500018868595,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
17,16,17.0,544,0.055200700007844716,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
18,32,17.0,560,0.05852660001255572,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
19,64,17.0,592,0.06364220002433285,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
20,128,17.0,656,0.07469700003275648,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
21,256,17.0,784,0.0969034000299871,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
22,512,17.0,1037,0.15949960000580177,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
23,1024,17.0,1037,0.15949960000580177,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,1,4
0,0,2.0,0,7.499998901039362e-05,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",1,1024,0,5
1,1,6.0,2,0.0007615999784320593,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
2,2,6.0,3,0.0013962999801151454,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
3,4,6.0,5,0.001995400001760572,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
4,8,16.0,10,0.0026711999671533704,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
5,16,16.0,18,0.0033765999833121896,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,1024,0,5
6,32,17.0,35,0.004259000008460134,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
7,64,17.0,67,0.0069571000058203936,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
8,128,17.0,131,0.010142099985387176,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
9,256,17.0,259,0.0178652000031434,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,1024,0,5
