,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay,seed,problem_size
0,0,2.0,0,0.00022109999554231763,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",exponential,0.1,0.005,0.001,0.09999988945006334,0.1,1024,,1,10
1,1,2.0,1,0.0020782999927178025,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",exponential,0.1,0.005,0.001,0.09999896085540279,0.1,1024,,1,10
2,2,2.0,3,0.0065944999805651605,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0]",exponential,0.1,0.005,0.001,0.09999670280436841,0.1,1024,,1,10
3,4,2.0,7,0.008977299963589758,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",exponential,0.1,0.005,0.001,0.0999955114507566,0.1,1024,,1,10
4,8,3.0,14,0.011376700014807284,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",exponential,0.1,0.005,0.001,0.09999431181177616,0.1,1024,,1,10
5,16,16.0,29,0.01284250000026077,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09999357895615772,0.1,1024,,1,10
6,32,17.0,46,0.014104400004725903,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09999294804865942,0.1,1024,,1,10
7,64,17.0,78,0.0159910999936983,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09999200476963874,0.1,1024,,1,10
8,128,17.0,142,0.01962699997238815,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09999018698152197,0.1,1024,,1,10
9,256,17.0,270,0.03164110000943765,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09998418070137831,0.1,1024,,1,10
10,512,17.0,526,0.06161099998280406,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09996919924441555,0.1,1024,,1,10
11,1024,17.0,543,0.06566389999352396,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",exponential,0.1,0.005,0.001,0.09996717343909815,0.1,1024,,1,10
12,0,2.0,0,5.0099974032491446e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",geometric,0.1,,0.001,0.09999994964785615,0.1,1024,0.99,1,10
