,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
0,0,1.0,5,0.0006532000843435526,"[3, 4, 0, 1, 3]",5,0.05,1024,1,5
1,1,3.0,12,0.0032574000069871545,"[1, 1, 1, 0, 4]",5,0.05,1024,1,5
2,2,3.0,18,0.005005500046536326,"[1, 1, 1, 0, 4]",5,0.05,1024,1,5
3,4,4.0,31,0.007134900079108775,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
4,8,4.0,55,0.009221900021657348,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
5,16,4.0,103,0.013130899984389544,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
6,32,4.0,199,0.0206152000464499,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
7,64,4.0,391,0.036562500055879354,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
8,128,4.0,775,0.05825110001023859,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
9,256,4.0,1231,0.07552740001119673,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
10,512,4.0,1231,0.07552740001119673,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
11,1024,4.0,1231,0.07552740001119673,"[1, 4, 1, 4, 4]",5,0.05,1024,1,5
12,0,1.0,5,0.0003220000071451068,"[3, 4, 0, 1, 3]",5,0.1,1024,1,5
13,1,6.0,12,0.00276459997985512,"[1, 1, 1, 1, 4]",5,0.1,1024,1,5
14,2,6.0,18,0.004202799987979233,"[1, 1, 1, 1, 4]",5,0.1,1024,1,5
15,4,6.0,30,0.005612200009636581,"[1, 1, 1, 1, 4]",5,0.1,1024,1,5
16,8,10.0,55,0.007241800078190863,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
17,16,10.0,103,0.009453600039705634,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
18,32,10.0,199,0.013443900039419532,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
19,64,10.0,391,0.020546499988995492,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
20,128,10.0,775,0.03338679997250438,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
21,256,10.0,1255,0.05089930002577603,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
22,512,10.0,1255,0.05089930002577603,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
23,1024,10.0,1255,0.05089930002577603,"[1, 1, 1, 1, 1]",5,0.1,1024,1,5
24,0,1.0,5,0.00013409997336566448,"[3, 4, 0, 1, 3]",5,0.2,1024,1,5
25,1,6.0,12,0.001608800026588142,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
26,2,6.0,18,0.0029651999939233065,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
27,4,6.0,30,0.004484400036744773,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
28,8,6.0,54,0.006246300064958632,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
29,16,6.0,102,0.00930579996202141,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
30,32,6.0,198,0.013624600018374622,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
31,64,6.0,390,0.021196800051257014,"[1, 1, 1, 1, 4]",5,0.2,1024,1,5
32,128,10.0,775,0.03545199998188764,"[1, 1, 1, 1, 1]",5,0.2,1024,1,5
33,256,10.0,1543,0.06165429996326566,"[1, 1, 1, 1, 1]",5,0.2,1024,1,5
34,512,10.0,1645,0.06721640005707741,"[1, 1, 1, 1, 1]",5,0.2,1024,1,5
35,1024,10.0,1645,0.06721640005707741,"[1, 1, 1, 1, 1]",5,0.2,1024,1,5
36,0,1.0,5,0.00010720000136643648,"[3, 4, 0, 1, 3]",5,0.5,1024,1,5
37,1,6.0,12,0.0022911999840289354,"[1, 1, 1, 1, 4]",5,0.5,1024,1,5
38,2,10.0,19,0.004361800034530461,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
39,4,10.0,31,0.006533899926580489,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
40,8,10.0,55,0.008909299969673157,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
41,16,10.0,103,0.012034500017762184,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
42,32,10.0,199,0.016332900035195053,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
43,64,10.0,391,0.02431160002015531,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
44,128,10.0,775,0.040753599954769015,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
45,256,10.0,1219,0.05869179998990148,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
46,512,10.0,1219,0.05869179998990148,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
47,1024,10.0,1219,0.05869179998990148,"[1, 1, 1, 1, 1]",5,0.5,1024,1,5
48,0,1.0,5,0.0001094999024644494,"[3, 4, 0, 1, 3]",5,0.75,1024,1,5
49,1,6.0,12,0.0020758999744430184,"[1, 1, 1, 1, 4]",5,0.75,1024,1,5
50,2,6.0,18,0.0044571999460458755,"[1, 1, 1, 1, 4]",5,0.75,1024,1,5
51,4,10.0,31,0.006661499966867268,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
52,8,10.0,55,0.009203199995681643,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
53,16,10.0,103,0.01315959997009486,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
54,32,10.0,199,0.017699599964544177,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
55,64,10.0,391,0.025399399921298027,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
56,128,10.0,775,0.039371099905110896,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
57,256,10.0,1231,0.057067399960942566,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
58,512,10.0,1231,0.057067399960942566,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
59,1024,10.0,1231,0.057067399960942566,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
60,0,1.0,10,0.00016769999638199806,"[3, 4, 0, 1, 3]",10,0.05,1024,1,5
61,1,3.0,22,0.002665099920704961,"[1, 1, 1, 0, 4]",10,0.05,1024,1,5
62,2,6.0,34,0.004938700003549457,"[1, 2, 1, 1, 1]",10,0.05,1024,1,5
63,4,10.0,57,0.007917599985376,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
64,8,10.0,101,0.011670899926684797,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
65,16,10.0,189,0.0161390999564901,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
66,32,10.0,365,0.022927099955268204,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
67,64,10.0,717,0.034850699943490326,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
68,128,10.0,1421,0.059499099967069924,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
69,256,10.0,2246,0.0869615999981761,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
70,512,10.0,2246,0.0869615999981761,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
