,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed,problem_size
0,0,1.0,0,0.00016900000628083944,"[3, 4, 0, 1, 3]",1,1024,0,1,5
1,1,1.0,1,0.0019910000264644623,"[3, 4, 0, 1, 3]",1,1024,0,1,5
2,2,2.0,3,0.0032893000170588493,"[3, 0, 0, 1, 3]",1,1024,0,1,5
3,4,3.0,6,0.004791899933479726,"[3, 3, 0, 1, 3]",1,1024,0,1,5
4,8,4.0,11,0.006485300022177398,"[3, 3, 1, 1, 3]",1,1024,0,1,5
5,16,4.0,19,0.007767200004309416,"[3, 3, 1, 1, 3]",1,1024,0,1,5
6,32,6.0,36,0.009696200024336576,"[3, 3, 1, 3, 3]",1,1024,0,1,5
7,64,10.0,69,0.011995699955150485,"[3, 3, 3, 3, 3]",1,1024,0,1,5
8,128,10.0,133,0.0177778999786824,"[3, 3, 3, 3, 3]",1,1024,0,1,5
9,256,10.0,243,0.047858200035989285,"[3, 3, 3, 3, 3]",1,1024,0,1,5
10,512,10.0,243,0.047858200035989285,"[3, 3, 3, 3, 3]",1,1024,0,1,5
11,1024,10.0,243,0.047858200035989285,"[3, 3, 3, 3, 3]",1,1024,0,1,5
12,0,3.0,243,0.055337199941277504,"[1, 1, 2, 4, 1]",1,1024,1,1,5
13,1,3.0,244,0.059740499942563474,"[1, 1, 2, 4, 1]",1,1024,1,1,5
14,2,6.0,246,0.06640489993151277,"[1, 1, 1, 4, 1]",1,1024,1,1,5
15,4,6.0,248,0.07762640004511923,"[1, 1, 1, 4, 1]",1,1024,1,1,5
16,8,6.0,252,0.08474910003133118,"[1, 1, 1, 4, 1]",1,1024,1,1,5
17,16,6.0,260,0.08697459998074919,"[1, 1, 1, 4, 1]",1,1024,1,1,5
18,32,10.0,277,0.08961929997894913,"[1, 1, 1, 1, 1]",1,1024,1,1,5
19,64,10.0,309,0.09623419994022697,"[1, 1, 1, 1, 1]",1,1024,1,1,5
20,128,10.0,373,0.105259699979797,"[1, 1, 1, 1, 1]",1,1024,1,1,5
21,256,10.0,462,0.12318090000189841,"[1, 1, 1, 1, 1]",1,1024,1,1,5
22,512,10.0,462,0.12318090000189841,"[1, 1, 1, 1, 1]",1,1024,1,1,5
23,1024,10.0,462,0.12318090000189841,"[1, 1, 1, 1, 1]",1,1024,1,1,5
0,0,2.0,0,6.830005440860987e-05,"[0, 0, 3, 2, 3]",1,1024,0,2,5
1,1,2.0,1,0.0007051000138744712,"[0, 0, 3, 2, 3]",1,1024,0,2,5
2,2,2.0,2,0.0013366000493988395,"[0, 0, 3, 2, 3]",1,1024,0,2,5
3,4,3.0,5,0.0021600000327453017,"[0, 0, 0, 2, 3]",1,1024,0,2,5
4,8,6.0,10,0.0029747000662609935,"[0, 0, 0, 2, 0]",1,1024,0,2,5
5,16,6.0,18,0.004137300071306527,"[0, 0, 0, 2, 0]",1,1024,0,2,5
6,32,10.0,35,0.006054299999959767,"[0, 0, 0, 0, 0]",1,1024,0,2,5
7,64,10.0,67,0.008261300041340292,"[0, 0, 0, 0, 0]",1,1024,0,2,5
8,128,10.0,131,0.01172260008752346,"[0, 0, 0, 0, 0]",1,1024,0,2,5
9,256,10.0,231,0.02127580007072538,"[0, 0, 0, 0, 0]",1,1024,0,2,5
10,512,10.0,231,0.02127580007072538,"[0, 0, 0, 0, 0]",1,1024,0,2,5
11,1024,10.0,231,0.02127580007072538,"[0, 0, 0, 0, 0]",1,1024,0,2,5
12,0,0.0,231,0.02410150005016476,"[0, 2, 4, 3, 1]",1,1024,1,2,5
13,1,1.0,233,0.025293200043961406,"[0, 0, 4, 3, 1]",1,1024,1,2,5
14,2,3.0,235,0.02653740008827299,"[0, 0, 0, 3, 1]",1,1024,1,2,5
15,4,3.0,237,0.028224300011061132,"[0, 0, 0, 3, 1]",1,1024,1,2,5
16,8,3.0,241,0.030287400004453957,"[0, 0, 0, 3, 1]",1,1024,1,2,5
17,16,6.0,250,0.03198900003917515,"[0, 0, 0, 0, 1]",1,1024,1,2,5
18,32,6.0,266,0.03460030001588166,"[0, 0, 0, 0, 1]",1,1024,1,2,5
19,64,6.0,298,0.03920960007235408,"[0, 0, 0, 0, 1]",1,1024,1,2,5
20,128,10.0,363,0.04737630009185523,"[0, 0, 0, 0, 0]",1,1024,1,2,5
21,256,10.0,491,0.06591870007105172,"[0, 0, 0, 0, 0]",1,1024,1,2,5
22,512,10.0,502,0.06903700006660074,"[0, 0, 0, 0, 0]",1,1024,1,2,5
23,1024,10.0,502,0.06903700006660074,"[0, 0, 0, 0, 0]",1,1024,1,2,5
0,0,1.0,0,6.949994713068008e-05,"[2, 0, 1, 3, 0]",1,1024,0,3,5
1,1,3.0,2,0.0007475999882444739,"[0, 0, 1, 3, 0]",1,1024,0,3,5
2,2,3.0,3,0.0013740999856963754,"[0, 0, 1, 3, 0]",1,1024,0,3,5
3,4,4.0,6,0.0020074000349268317,"[0, 0, 1, 1, 0]",1,1024,0,3,5
4,8,4.0,10,0.0026594999944791198,"[0, 0, 1, 1, 0]",1,1024,0,3,5
5,16,6.0,19,0.0034449000377207994,"[0, 0, 0, 1, 0]",1,1024,0,3,5
6,32,6.0,35,0.0043870999943464994,"[0, 0, 0, 1, 0]",1,1024,0,3,5
7,64,10.0,68,0.005872500012628734,"[0, 0, 0, 0, 0]",1,1024,0,3,5
8,128,10.0,132,0.008917500032112002,"[0, 0, 0, 0, 0]",1,1024,0,3,5
9,256,10.0,255,0.016496600001119077,"[0, 0, 0, 0, 0]",1,1024,0,3,5
10,512,10.0,255,0.016496600001119077,"[0, 0, 0, 0, 0]",1,1024,0,3,5
11,1024,10.0,255,0.016496600001119077,"[0, 0, 0, 0, 0]",1,1024,0,3,5
12,0,2.0,255,0.017838099971413612,"[4, 4, 0, 2, 2]",1,1024,1,3,5
13,1,2.0,256,0.01905660005286336,"[4, 4, 0, 2, 2]",1,1024,1,3,5
14,2,2.0,257,0.02022379997652024,"[4, 4, 0, 2, 2]",1,1024,1,3,5
15,4,3.0,260,0.021401099977083504,"[2, 4, 0, 2, 2]",1,1024,1,3,5
16,8,6.0,265,0.022709500044584274,"[2, 2, 0, 2, 2]",1,1024,1,3,5
17,16,10.0,274,0.02425070002209395,"[2, 2, 2, 2, 2]",1,1024,1,3,5
18,32,10.0,290,0.026500400039367378,"[2, 2, 2, 2, 2]",1,1024,1,3,5
19,64,10.0,322,0.030001900042407215,"[2, 2, 2, 2, 2]",1,1024,1,3,5
20,128,10.0,386,0.03699890000279993,"[2, 2, 2, 2, 2]",1,1024,1,3,5
21,256,10.0,467,0.04646730003878474,"[2, 2, 2, 2, 2]",1,1024,1,3,5
22,512,10.0,467,0.04646730003878474,"[2, 2, 2, 2, 2]",1,1024,1,3,5
23,1024,10.0,467,0.04646730003878474,"[2, 2, 2, 2, 2]",1,1024,1,3,5
0,0,2.0,0,7.950002327561378e-05,"[2, 1, 0, 0, 2]",1,1024,0,4,5
1,1,2.0,1,0.0012450000504031777,"[2, 1, 0, 0, 2]",1,1024,0,4,5
2,2,2.0,2,0.0019253999926149845,"[2, 1, 0, 0, 2]",1,1024,0,4,5
3,4,4.0,5,0.002582099987193942,"[2, 0, 0, 0, 2]",1,1024,0,4,5
4,8,4.0,9,0.0032618000404909253,"[2, 0, 0, 0, 2]",1,1024,0,4,5
5,16,6.0,18,0.004139200085774064,"[0, 0, 0, 0, 2]",1,1024,0,4,5
6,32,6.0,34,0.005096400040201843,"[0, 0, 0, 0, 2]",1,1024,0,4,5
