,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay,seed,problem_size
0,0,1.0,0,0.0001249000197276473,"[3, 4, 0, 1, 3]",exponential,0.1,0.005,0.001,0.09999993755000963,0.1,1024,,1,5
1,1,1.0,2,0.001563000027090311,"[0, 4, 0, 1, 3]",exponential,0.1,0.005,0.001,0.09999921850304017,0.1,1024,,1,5
2,2,1.0,4,0.0026415999745950103,"[0, 4, 0, 1, 2]",exponential,0.1,0.005,0.001,0.09999867920873523,0.1,1024,,1,5
3,4,2.0,8,0.003840100020170212,"[0, 4, 0, 1, 4]",exponential,0.1,0.005,0.001,0.09999807996842276,0.1,1024,,1,5
4,8,3.0,15,0.0048813000321388245,"[3, 1, 1, 1, 4]",exponential,0.1,0.005,0.001,0.09999755937976756,0.1,1024,,1,5
5,16,6.0,25,0.006036299979314208,"[1, 1, 1, 1, 4]",exponential,0.1,0.005,0.001,0.09999698189555604,0.1,1024,,1,5
6,32,10.0,43,0.00777260004542768,"[1, 1, 1, 1, 1]",exponential,0.1,0.005,0.001,0.09999611377549295,0.1,1024,,1,5
7,64,10.0,75,0.01054309995379299,"[1, 1, 1, 1, 1]",exponential,0.1,0.005,0.001,0.09999472858896685,0.1,1024,,1,5
8,128,10.0,139,0.015219300054013729,"[1, 1, 1, 1, 1]",exponential,0.1,0.005,0.001,0.09999239063949952,0.1,1024,,1,5
9,256,10.0,267,0.02537110005505383,"[1, 1, 1, 1, 1]",exponential,0.1,0.005,0.001,0.09998731525455434,0.1,1024,,1,5
10,512,10.0,523,0.055229000048711896,"[1, 1, 1, 1, 1]",exponential,0.1,0.005,0.001,0.09997238931242777,0.1,1024,,1,5
11,1024,10.0,541,0.05928319995291531,"[1, 1, 1, 1, 1]",exponential,0.1,0.005,0.001,0.09997036279271176,0.1,1024,,1,5
12,0,1.0,0,5.40000619366765e-05,"[3, 4, 0, 1, 3]",geometric,0.1,,0.001,0.09999994572813888,0.1,1024,0.99,1,5
13,1,1.0,2,0.0014053999911993742,"[0, 4, 0, 1, 3]",geometric,0.1,,0.001,0.09999858753578338,0.1,1024,0.99,1,5
14,2,1.0,4,0.002689699991606176,"[0, 4, 0, 1, 2]",geometric,0.1,,0.001,0.09999729679771109,0.1,1024,0.99,1,5
15,4,2.0,8,0.0040327999740839005,"[0, 4, 0, 1, 4]",geometric,0.1,,0.001,0.09999594698272002,0.1,1024,0.99,1,5
16,8,3.0,15,0.005340200033970177,"[3, 1, 1, 1, 4]",geometric,0.1,,0.001,0.09999463306363855,0.1,1024,0.99,1,5
17,16,6.0,25,0.006718900054693222,"[1, 1, 1, 1, 4]",geometric,0.1,,0.001,0.09999324750777944,0.1,1024,0.99,1,5
18,32,10.0,43,0.008303700014948845,"[1, 1, 1, 1, 1]",geometric,0.1,,0.001,0.09999165485082925,0.1,1024,0.99,1,5
19,64,10.0,75,0.010406399960629642,"[1, 1, 1, 1, 1]",geometric,0.1,,0.001,0.09998954176544847,0.1,1024,0.99,1,5
20,128,10.0,139,0.0140914999647066,"[1, 1, 1, 1, 1]",geometric,0.1,,0.001,0.0999858385720924,0.1,1024,0.99,1,5
