,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay,seed
0,0,8.0,0,0.00039029994513839483,"[12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 20, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24]",exponential,0.1,0.005,0.001,0.09999980485021785,0.1,1024,,1
1,1,8.0,2,0.0015917000127956271,"[12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 8, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24]",exponential,0.1,0.005,0.001,0.09999920415316049,0.1,1024,,1
2,2,8.0,3,0.002525599906221032,"[12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 8, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24]",exponential,0.1,0.005,0.001,0.09999873720802017,0.1,1024,,1
3,4,8.0,7,0.003917599911801517,"[12, 8, 9, 4, 5, 15, 0, 16, 1, 12, 7, 6, 27, 8, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24]",exponential,0.1,0.005,0.001,0.09999804121922846,0.1,1024,,1
4,8,10.0,15,0.0065524999517947435,"[4, 8, 9, 4, 5, 15, 0, 16, 1, 12, 7, 6, 27, 8, 18, 20, 11, 28, 15, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24]",exponential,0.1,0.005,0.001,0.0999967238036926,0.1,1024,,1
5,16,15.0,28,0.009939999901689589,"[4, 8, 9, 4, 5, 15, 0, 16, 1, 12, 7, 6, 27, 8, 18, 20, 11, 28, 15, 8, 4, 23, 23, 27, 32, 22, 13, 9, 11, 22, 1, 0, 25, 8, 24]",exponential,0.1,0.005,0.001,0.09999503012355161,0.1,1024,,1
6,32,21.0,53,0.0153060999000445,"[4, 8, 9, 4, 5, 15, 0, 4, 12, 12, 33, 6, 27, 8, 18, 5, 11, 28, 15, 8, 4, 11, 6, 27, 19, 22, 13, 9, 11, 22, 1, 0, 12, 8, 24]",exponential,0.1,0.005,0.001,0.09999234724288839,0.1,1024,,1
7,64,29.0,93,0.02485659997910261,"[4, 8, 9, 4, 5, 15, 0, 4, 12, 12, 8, 6, 27, 8, 20, 5, 11, 20, 15, 8, 4, 11, 6, 27, 20, 22, 23, 9, 11, 22, 6, 0, 8, 8, 33]",exponential,0.1,0.005,0.001,0.09998757247229166,0.1,1024,,1
8,128,47.0,176,0.04392979992553592,"[4, 8, 9, 4, 5, 5, 0, 4, 12, 12, 4, 5, 12, 8, 11, 8, 4, 5, 11, 8, 4, 11, 15, 22, 20, 22, 22, 8, 11, 16, 8, 0, 8, 8, 33]",exponential,0.1,0.005,0.001,0.09997803751214479,0.1,1024,,1
9,256,66.0,325,0.07919630000833422,"[8, 8, 11, 4, 5, 11, 12, 4, 12, 5, 4, 5, 11, 8, 11, 8, 4, 5, 11, 8, 4, 11, 1, 22, 20, 4, 22, 4, 20, 28, 8, 20, 8, 8, 4]",exponential,0.1,0.005,0.001,0.09996040968902853,0.1,1024,,1
